UID,Name,Description,Owner,Owner UID,Publication Stage,Audience,Approval Status,Provenance,Type,Category,Tags,url,API Endpoint,Creation Date (UTC),Last Metadata Updated Date (UTC),Last Data Updated Date (UTC),Domain,Derived View,Visits,Downloads,Row Label,Row Count,Column Count,Contact Email,License,Attribution,Attribution Link,Published Version Name,Published Version UID,Parent UID,Supplemental Resources: Related Datasets Link(s),Jurisdiction: Jurisdiction,Time Period: Update Frequency,Time Period: Time Period of Content,Agency: State Agency Performing Data Updates,GIS Download: Place Keywords,Time Period: Date Metadata Written,Supplemental Resources: Additional Documentation Link,days_since_data_update,asset_age,expected_update_days,recently_enough,accessible,"Time Period: Other Update Frequency   If frequency isn't included in list above, please describe it here.",Data Def: data location,GIS Download: Shape File
nw2g-v2vv,3 Inch Pixel Imagery Tile Grid 2024,Three-inch index grid for the 2024 three-inch pixel imagery collection.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/nw2g-v2vv,https://opendata.maryland.gov/resource/nw2g-v2vv.json,07/22/2025 12:17:24 AM,07/22/2025 12:17:25 AM,07/22/2025 12:17:27 AM,opendata.maryland.gov,false,2,0,,4041,9,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
x5si-a5i6,Baltimore Regional Neighborhood Initiative (BRNI) Areas,"The Baltimore Regional Neighborhood Initiative (BRNI) program aims to demonstrate how strategic investment in local housing and businesses can lead to healthy, sustainable communities with a growing tax base and enhanced quality of life. The program attempts to focus on areas where modest investment and a coordinated strategy will have an appreciable neighborhood revitalization impact. Community Development Organizations with an approved strategic neighborhood revitalization plan may apply for Baltimore Regional Neighborhood Initiative funding for projects located in Sustainable Community Areas in Baltimore City and inner beltway of Baltimore and Anne Arundel counties.If a Community Development Organization is interested in applying to the program and does not have an approved strategic neighborhood revitalization plan, then it must submit a plan at the time of application along with its projects for which it is requesting funds. Prior to any funding awards, the strategic neighborhood revitalization plan must be approved by the Department.Community Development Organizations are strongly recommended to apply with partner organizations, including Community Development Financial Institutions. Cross-jurisdictional partnerships are eligible and encouraged.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/x5si-a5i6,https://opendata.maryland.gov/resource/x5si-a5i6.json,07/22/2025 12:18:46 AM,07/22/2025 12:18:52 AM,07/22/2025 12:18:54 AM,opendata.maryland.gov,false,2,0,,21,10,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
qzca-qdke,MD Environmental Trust CY19 Acquisitions detail,"The Maryland Environmental Trust (MET) is a statewide local land trust governed by a citizen Board of Trustees. Since its creation by the General Assembly in 1967, MET's main goal is the preservation of open land, such as farmland, forest land, and significant natural resources. The primary tool for doing this is the conservation easement, a voluntary agreement between a landowner and the MET Board of Trustees. Last Updated: Updated Quarterly",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/qzca-qdke,https://opendata.maryland.gov/resource/qzca-qdke.json,07/21/2025 11:13:15 PM,07/21/2025 11:13:16 PM,07/21/2025 11:13:18 PM,opendata.maryland.gov,false,2,0,,26,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
qpxv-23p9,Arts And Entertainment Districts - Point,"The Maryland State Arts Council sponsors Arts & Entertainment Districts as a way to stimulate the economy and improve quality of life. This legislation enables local jurisdictions, municipalities, counties, or a combination thereof, to apply for state designations for the Arts and Entertainment Districts within their boundaries and offer tax incentives as provided by law.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/qpxv-23p9,https://opendata.maryland.gov/resource/qpxv-23p9.json,07/22/2025 12:19:11 AM,07/22/2025 12:19:16 AM,07/22/2025 12:19:17 AM,opendata.maryland.gov,false,2,0,,29,20,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
w4cj-zxrk,Compressed Natural Gas Fuel Stations,"Through a nationwide network of local coalitions, Clean Cities provides project assistance to help stakeholders in the public and private sectors deploy alternative and renewable fuels, idle-reduction measures, fuel economy improvements, and emerging transportation technologies. Department of Energy collects this data as part of the Projects undertaken by Clean Cities coalitions and stakeholders to ensure customers access to clean alternative energy. This data can be found at the Department of Energy Alternative Fuels Data Center Web Feature Service: http://www.afdc.energy.gov/locator/stations/Clean Cities is the deployment arm of the U.S. Department of Energy's (DOE) Vehicle Technologies Office.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/w4cj-zxrk,https://opendata.maryland.gov/resource/w4cj-zxrk.json,07/22/2025 03:32:11 AM,07/22/2025 03:32:14 AM,07/22/2025 03:32:15 AM,opendata.maryland.gov,false,2,1,,14,40,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
hpun-upnm,Fish Blockage Locations,"In 1987, the Chesapeake Bay Agreement was signed by states within the Chesapeake Bay region including Maryland, Pennsylvania, Virginia and the District of Columbia. This agreement included commitments for providing fish passage within each state: ""to provide for fish passage at dams, and remove stream blockages wherever necessary to restore passage for migratory fish."" With this humble beginning, the Chesapeake Bay states set a goal to reopen a total of 1,357 miles of historical spawning grounds by the year 2003. Maryland's portion of this goal is to reopen 388.65 miles of stream. The Maryland Department of Natural Resources Fish Passage Program has taken this commitment very seriously; to date the Program has completed 61 projects, reopening a total 348.9 miles of upstream spawning habitat. Several projects scheduled to be completed by 2003 will allow the Program to not only meet but also exceed the goal set forth by the Chesapeake Bay Agreement. Meeting this goal has been a cooperative effort between the Maryland Department of Natural Resources, State Highway Administration, National Marine Fisheries Service - National Oceanic & Atmospheric Administration, Department of Interior - US Fish & Wildlife, Environmental Protection Agency, Chesapeake Bay Program, Chesapeake Bay Foundation, University Maryland and a multitude of others including private citizens, local watershed groups and local governments.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/hpun-upnm,https://opendata.maryland.gov/resource/hpun-upnm.json,07/22/2025 02:37:45 AM,07/22/2025 02:37:46 AM,07/22/2025 02:37:47 AM,opendata.maryland.gov,false,2,0,,827,10,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
a9hq-vadx,Sport Venues - Horse Racing,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Horse Racing.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/a9hq-vadx,https://opendata.maryland.gov/resource/a9hq-vadx.json,07/21/2025 09:55:12 PM,07/21/2025 09:55:13 PM,07/21/2025 09:55:15 PM,opendata.maryland.gov,false,2,0,,8,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
rcge-ybut,Rivers Streams and Ditches,"This layer is extracted from The High Resolution National Hydrography Dataset Plus (NHDPlus HR). This is an integrated set of geospatial data layers, including the best available National Hydrography Dataset (NHD), the 10-meter 3D Elevation Program Digital Elevation Model (3DEP DEM), and the National Watershed Boundary Dataset (WBD). The NHDPlus HR combines the NHD, 3DEP DEMs, and WBD to create a stream network with linear referencing, feature naming, ""value added attributes"" (VAAs), elevation-derived catchments, and other features for hydrologic data analysis.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/rcge-ybut,https://opendata.maryland.gov/resource/rcge-ybut.json,07/22/2025 03:07:34 AM,07/22/2025 03:07:35 AM,07/22/2025 03:07:59 AM,opendata.maryland.gov,false,2,0,,88467,7,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
r5my-n834,Sport Venues - Karate,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Karate.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/r5my-n834,https://opendata.maryland.gov/resource/r5my-n834.json,07/21/2025 09:54:54 PM,07/21/2025 09:54:55 PM,07/21/2025 09:54:57 PM,opendata.maryland.gov,false,2,0,,4,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
sgap-qdpw,Baltimore 30 years Shoreline Erosion Level,"To quantify shoreline rates of change (erosion or accretion), Maryland Geological Survey (MGS) used historical and recent shorelines spanning 1972-2011 as input into the Digital Shoreline Analysis System (DSAS) Version 4.3. DSAS, a computer program developed by the U.S. Geological Survey (USGS), determines linear rates of shoreline change along closely spaced, shore-normal transects. Based on DSAS output, MGS assigned generalized rate of change categories as attributes to a recent shoreline for Baltimore County. This recent shoreline consisted of the National Oceanic and Atmospheric Administration (NOAA) Continually Updated Shoreline Product (CUSP) digital shoreline currently available for Baltimore County. Based on the results of an End Point Rate (EPR) analysis on the ca. 1970s shoreline and the ca. 2000/2010 shoreline (recent shoreline), MGS grouped the rate results into the following general categories: (a) No change (-0.01 to 0.01 feet/year), (b) Accretion (greater than 0.01 feet/year), (c) Slight erosion rate (0 to -2 feet/year), (d) Low erosion rate (-2 to -4 feet/year), (e) Moderate erosion rate (-4 to -8 ft/yr), (f) High erosion rate (greater than -8 feet/year), (g) Protected, (h) No data (insufficient shorelines to calculate 30-year EPR rate), (i) No data (no transects cast; unprotected or unknown shoreline condition), and (j) No data (rates not delivered; calculated rates suspect). Negative rate of change values indicate erosion, and positive values indicate accretion. In general, MGS tried to attribute lengths of shoreline of at least 80 meters in length sharing similar rates of change.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/sgap-qdpw,https://opendata.maryland.gov/resource/sgap-qdpw.json,07/21/2025 11:48:18 PM,07/21/2025 11:48:19 PM,07/21/2025 11:48:23 PM,opendata.maryland.gov,false,2,0,,3956,27,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
qz6v-cy3q,Sport Venues - Squash,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Squash.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/qz6v-cy3q,https://opendata.maryland.gov/resource/qz6v-cy3q.json,07/21/2025 10:16:11 PM,07/21/2025 10:16:12 PM,07/21/2025 10:16:14 PM,opendata.maryland.gov,false,2,0,,8,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
